abicher|a.ʃe
télolécithe|te.sit
télécoms|tel.
ténébreusement|te.ne.bʁøz.mɑ̃
ténébrionidé|te.ne.bʁi.jɔ̃.ni.de
téphra|te.ʁa
térébinthacée|te.ʁe.se
téréphtalate|te.ʁe.fta.lat
téréphtalique|te.ʁe.fta.lik
tétanisme|te.ta.ni.nism
tétanotoxine|te.ta.tɔk.sin
tétonnière|te.tɔ̃.njɛʁ
tétrahydronaphtalène|te.tʁa.naf.ta.lɛn
tétrakihexaèdre|te.tʁa.eɡ.za.ɛdʁ
tétraméthylsilane|te.tʁa.si.lan
tétrasomie|te.tʁɑs.tɔ.mi
tûteler|le
tûter|tɛʁ
tœʁ.no.vœʁ
ubique|y.bi.tik
ubiquisme|y.bi.kism
ulmacée|yl.tʁa.se
ultravirus|yl.tʁa.vi.ʁys
umbanda|œ̃bo.da
unanimitaire|y.na.ni.tɛʁ
uniformitarisme|y.ni.fɔʁ.ta.ʁism
unisériée|y.ni.ʁje
universiade|y.ni.nad
univoquement|y.ni.vɔk.mɑ̃
unièmement|y.njɛm.mɑ̃
upwelling|liŋ
urbi|yʁ.ba.bi
uropygiale|y.ʁɔ.ʒjal
uropygienne|y.ʁɔ.ʒjɛn
urédospore|y.ʁe.spɔʁ
uréogenèse|y.ʁe.ʒə.nɛz
usuellement|y.zɥɛl.mɑ̃
usurairement|y.zyʁ.mɑ̃
uva-ursi|y.si
vacuomètre|va.mɛtʁ
vagolytique|va.ɡɔ.li.tik
vaguement|vaɡ.mɑ̃
valgus|val.ɡys
valorem|va.lɔ.ʁi.ʁɛm
valpolicella|val.sɛ.la
valvuloplastie|val.plas.ti
vancomycine|vɑ̃.mi.sin
vaporeusement|va.pɔ.ʁøz.mɑ̃
varheure|vaʁ.œʁ
variolite|va.ʁjɔ.lit
variolée|va.ʁjɔ.le
variorum|va.ʁjɔ.ʁɔm
variqueuse|va.køz
variure|va.jyʁ
varus|vaʁ.ʁys
vasogénique|va.zo.ʒe.nik
vaudouisme|vo.du.dwism
veinette|vɛn.nɛt
velot|və.lu.lo
velouteuse|və.lu.tøz
velvote|və.vɔt
venimeusement|və.ni.møz.mɑ̃
ventileuse|vɑ̃.ti.løz
ventosité|vɑ̃.li.te
verbomanie|vɛʁ.bɔ.ma.ni
vergetière|vɛʁ.tjɛʁ
verrucosité|vɛ.ʁy.li.te
verticilliose|vɛʁ.ti.ljoz
vertébrothérapie|vɛʁ.te.te.ʁa.pi
verviétoise|vɛʁ.twaz
vespertilion|vɛs.i.ljɔ̃
vespiste|vɛs.pist
vessigon|ve.ɡɔ̃
veuglaire|ɡlɛʁ
veveysanne|zan
vide-bouteilles|vid.tɛj
vidienne|vi.di.djɛn
vidoir|vi.dwaʁ
vidrecome|vi.saʁ.kom
vidure|vi.dyʁ
vidéotex|vi.de.o.tɛks
vielliste|vjɛ.list
vignot|vi.no
vigousse|vi.ɡu.ɡus
vilayet|vi.lɛn.e
vilement|vil.mɑ̃
vilipendage|vi.daʒ
vilipendeuse|vi.døz
villafranchien|vil.la.ʃjɛ̃
vinblastine|vɛ̃.tin
viride|vi.ʁi.ʁid
virtuosisme|viʁ.zism
viseuse|vi.søz
visonnière|vi.zɔ̃.njɛʁ
vitae|vi.ta.
vitam|vi.ta.tam
vitrectomie|vitʁ.tɔ.mi
vitroplant|vi.tro.plɑ̃
vitruvienne|vi.ʁy.vjɛn
vivement|viv.mɑ̃
vivendi|viv.di
vivoir|vi.vwaʁ
vogelpik|vɔ.
voilement|vwal.mɑ̃
volailleuse|vɔ.laj.jøz
volvulus|vɔl.my.lys
vomito|vɔ.to
vomérienne|vɔ.ʁjɛn
vousseau|vu.so
vouvray|vu.vwa.
vox|vɔk
voïvodat|vɔj.mɔ.da
voïvode|vɔj.ɔd
vreneli|li
vrillement|vʁij.mɑ̃
vuvuzela|vy.la
vécés|ve.
vélocement|ve.lɔs.mɑ̃
vénalement|ve.nal.mɑ̃
véniellement|ve.njɛl.mɑ̃
vérifieuse|ve.ʁi.ma.fjøz
vérétille|ve.tij
vétérance|ve.te.ʁɑ̃s
vɔlo.vɑ̃
wai|wa
wargame|va.ɡam
watergang|wa.ɡaŋ
wateringue|wa.ʁɛ̃ɡ
webmestrie|wɛb.me.tʁi
welwitschia|kja
weyr|wɛb.fiʁ
wiccane|kan
wicca|ka
willémite|wi.mit
windsurf|sœʁf
wolophiser|wɔ.li.ze
wormien|mjɛ̃
wurtzite|vuʁ.tsit
xanthate|ɡzɑ̃.fɔs.fat
xanthogénate|ɡzɑ̃.nat
xanthogénique|ɡzɑ̃.ʒe.nik
xanthélasma|ɡzɑ̃.plas.ma
xiloïdine|din
ximenia|ksi.nja
xingyiquan|
xinyiliuhequan|
xiphias|ksi.ɑs
xylopia|ksi.lɔ.
xénotime|ɡze.no.tim
xénotransplantation|ta.sjɔ̃
yeomanry|jo.man.ʁi
yersinia|si.nja
yersiniose|oz
ylangs-ylangs|i.tɑ̃
yoyette|jɔ.jɔ.jɛt
yuppie|pi
zakât|za.mɑ̃
zazoue|za.tik
zeitnot|zɛt.no
zemstvo|vo
zidovudine|din
zoanthaire|zo.ɛʁ
zonoèdre|zo.ɛdʁ
zygopetalum|zi.lɔm
zûner|ne
µR|
µas|ɑs
ásatrú|
ægosome|e.zom
ébouriffage|e.bu.faʒ
éburonne|e.byʁ.ʁɔn
échafaudeuse|e.ʃa.fo.døz
écharneuse|e.nøz
échevèlement|e.mɑ̃
échinocactus|e.ki.nɔ.kak.tys
éclairagisme|e.klɛ.ʒism
éclogite|e.ʒit
écorchage|e.kɔʁ.ʃaʒ
écrivaillée|e.kʁi.je
égalitairement|e.ɡa.li.tɛʁ.mɑ̃
égressive|e.ɡʁə.siv
élasticimétrie|e.las.me.tʁi
élicitine|e.li.tin
élicitrice|e.li.tʁis
éminatie|e.mi.kʁa.si
énarquienne|e.kjɛn
énergéticienne|e.nɛʁ.ʒe.ti.sjɛn
épaississeur|e.sœʁ
épeirogénique|e.ʒe.nik
éphéméroptère|e.fe.tɛʁ
épichlorhydrine|e.pi.dʁin
épidermomycose|e.pi.mi.kɔz
épidermophytie|e.pi.fi
épipodite|e.pi.pɔ.dit
épirogénique|e.pi.ʒe.nik
épistasique|e.pis.zik
épithélioïde|e.pi.id
épongement|e.pɔ̃ʒ.mɑ̃
époxydée|e.pɔk.si.de
équiprojectivité|e.ki.ti.vi.te
éraillement|e.ʁa.mɑ̃
érinye|e.
érotologique|e.ʁɔ.tɔ.lɔ.ʒik
érythrodermie|e.ʁi.tɛʁ.mi
étampeuse|e.tɑ̃p.pøz
étanchéiste|e.tɑ̃.ʃe.ist
éthanoïque|e.ta.ik
éthoxyler|e.tɔ.le
éthyl|e.ti.be.ʁil
îlotière|i.lo.tjɛʁ
œnotechnique|ø.nɔ.tɛk.nik
œsophagomalacie|e.zɔ.fa.la.si
œsophagoplastie|e.zɔ.fa.plas.ti
œstrogénothérapie|œs.te.ʁa.pi
ɛ̃.tʁa.my.ʁɔs
