abandonnisme|a.bɑ̃.dɔ̃.nism
sommeilleuse|sɔ.mɛj.jøz
sondagière|sɔ̃.ʒjɛʁ
sondologie|sɔ̃.lɔ.ʒi
sonotrode|sɔ.tʁɔd
sonrer|sɔ̃.ʁe
sophorose|sɔ.ʁɔz
sophrologique|so.fʁo.lɔ.ʒik
sophronique|sɔ.nik
sotch|sɔ.tʃe
soudière|su.djɛʁ
soufrière|su.ʁjɛʁ
sous-gouverneur|su.nœʁ
sous-occipitale|su.tal
soustracteur|sus.tʁak.tœʁ
souvlaki|su.ki
soviétologue|sɔ.vje.lɔɡ
soûlote|su.lɔt
spammeuse|spa.møz
sparganose|spaʁ.noz
spasmolytique|spas.mɔ.li.tik
spectacularisation|spɛk.li.za.sjɔ̃
spectrogramme|spɛ.ktʁɔ.ɡʁam
spermiducte|spɛʁ.ma.
sphingolipide|sfɛ̃ʒ.li.pid
sphingosine|sfɛ̃ʒ.zin
sphérocytose|sfe.ʁɔ.sit.oz
spiraloïde|spi.id
spiramycine|spi.mi.sin
spirille|spi.ʁi.nɛl
spironolactone|spi.ʁɔ.lak.tɔn
spirorbe|spi.ʁɔ.ɔʁb
spiroïde|spi.ʁɔ.id
splanchnologie|splɑ̃k.lɔ.ʒi
splanchnopleure|splɑ̃k.plœʁ
splénectomie|sple.tɔ.mi
spondaïque|spɔ̃.ik
spondyle|spɔ̃.di.kɔ̃.dil
spondylose|spɔ̃.di.loz
spongiaire|spɔ̃.ɛʁ
spongiculture|spɔ̃.kyl.tyʁ
spongille|spɔ̃.ʒil
sporotriche|spɔ.ʁɔ.tʁiʃ
sporotrichose|spɔ.ʁɔ.ʃoz
sporozoaire|spɔ.ʁɔ.ɛʁ
sporozoïte|spɔ.ʁɔ.it
sprechgesang|sɑ̃
squattage|skwa.taʒ
squirrhe|ski.siʁ
stagnance|staɡ.nɑ̃s
stagnationniste|staɡ.na.sjɔ̃.sjɔ.nist
stanneuse|sta.nøz
staphyline|sta.fi.lin
staphylome|sta.fi.lom
stathoudérat|sta.ʁa
stationnale|sta.sjɔ.nal
statokinésimètre|sta.mɛtʁ
statorique|sta.tɔʁ.tɔ.ʁik
statthalter|sta.te
stayer|sta.je
steinbock|bɔk
stellage|stɛ.jaʒ
stelléride|stɛ.ʁid
sterculiacée|stɛʁ.kɔ.se
sternum|stɛʁ.ny.nɔm
stimugène|sti.my.ʒɛn
stockeuse|stɔ.køz
stockfisch|stɔk.a.ʃiʃ
stolonifère|stɔ.lɔ̃.fɛʁ
stomoxe|stɔ.ma.dɔks
stoûpa|stɔ.pa
strobilurine|stʁɔ.y.ʁin
strobophotographie|stʁɔ.ɡʁa.fi
strongyle|stʁɔ̃ɡl.til
strongylose|stʁɔ̃ɡl.loz
strophante|stʁɔf.ɑ̃t
strophantine|stʁɔf.tin
stylisation|sti.li.za.sjɔ̃
stéarique|ste.a.ʁik
stégosaure|ste.ɡo.sɔʁ
stéréospondyle|ste.ʁe.o.kɔ̃.dil
stûpa|st.pa
subduire|syb.dɥiʁ
subintrante|sy.ɑ̃t
subjacente|syb.ʒɛk.ʒa.sɑ̃t
subventionneuse|syb.vɑ̃.sjɔ̃.nøz
subéreuse|sy.ʁøz
sudarabique|sy.da.a.ʁa.bik
suffète|sy.pʁe.fɛt
suicidalité|sɥi.li.te
suintine|sɥɛ̃.tin
sukkeler|sy.le
sulfadiazine|syl.fa.dja.zin
sulfanilamide|syl.fa.a.mid
sulfhydrate|syl.id.ʁat
sulfhydrisme|syl.ʁism
sulfhémoglobine|syl.e.mɔ.ɡlɔ.bin
sulfinisation|syl.li.za.sjɔ̃
sulfonation|syl.fɔ.za.sjɔ̃
sulfonique|syl.fɔ.nik
sulfonitrique|syl.fɔ.nit.ʁik
sulfonylurée|syl.fɔ.y.ʁe
supercarré|sy.pɛʁ.ʁe
supercavitante|sy.pɛʁ.tɑ̃t
supportérisme|sy.pɔʁ.te.ʁism
supranormale|sy.pʁa.na.nɔʁ.mal
supériorat|sy.pe.ʁa
surlignante|syʁ.li.ɑ̃t
surnageante|syʁ.na.ɑ̃t
surnumérariat|syʁ.ta.ʁja
survirante|syʁ.vi.ɑ̃t
suscrire|sys.ʁiʁ
suspensoïde|sys.pɑ̃.id
sweating-system|stɛm
sycone|sɛ̃.kɔn
sympathicotonie|sɛ̃.pa.ni
symphysaire|sɛ̃.fɔ.ɛʁ
symphyse|sɛ̃.fɔ.fiz
symposion|sɛ̃.sjɔ̃
synapsie|si.zi
synchondrose|sɛ̃.kʁɔ.ʁɔz
syncinésie|sɛ̃.zi
syncrétiste|sɛ̃.kʁe.tist
syncytiale|sɛ̃.sjal
synergique|si.nɛʁ.lɔ.ʒik
synergisme|si.nɛʁ.ʒism
syngamie|sɛ̃.a.miː
syngnathe|sɛ̃.nat
synodique|si.dik
synopsie|si.zi
synpériplanaire|pla.nɛʁ
synthase|sɛ̃.te.az
synthème|sɛ̃.te.tɛm
synthétase|sɛ̃.te.tɑz
synthétiste|sɛ̃.te.tist
syntype|sɛ̃.tip
syrah|si.ʁa
syringomyélie|si.li
sécréteuse|se.kʁe.tøz
sécurine|se.ky.ʁi.y.ʁin
sélacienne|se.la.sjɛn
séleucide|se.lɛk.sid
sélénienne|se.le.njɛn
sémantème|se.mɑ̃.sis.tɛm
sémillon|se.jɔ̃
sémiométrie|se.mjɔ.me.tʁi
sémitisme|se.tism
sénilisme|se.lism
séparase|se.pa.ʁa.ʁaz
séquestrante|se.kɛs.ɑ̃t
sérapéum|se.ʁa.ɔm
séricigraphie|se.ʁi.si.ɡʁa.fi
t'elle|ɛl
t'il|te.il
tabacultrice|ta.ba.tʁis
tabar|ta.ba.baʁ
tabasco|ta.ba.ko
tablar|ta.laʁ
tableautage|tɑbl.taʒ
tachante|ta.ɑ̃t
tachisme|ta.ʃism
tachiste|ta.ʃist
tachistoscope|ta.kɔp
tachistoscopique|ta.pik
tachyphagie|ta.ki.lɔ.ʒi
tachypnée|ta.ki.ne
tachypsychie|ta.ki.ʃi
tagète|taɡ.ʒɛt
taijiquan|ta.ɑ̃
taiji|ta.ʒi
taleth|ta.lɛt
tallée|ta.le
talochage|ta.ʃaʒ
talonnière|ta.lɔ.njɛʁ
talpidé|tal.de
talure|ta.lyʁ
tambourinade|tɑ̃.bu.ʁɛ̃.nad
tamile|ta.majl
tamisière|ta.mi.zjɛʁ
tamponnade|tɑ̃.pɔ.nad
taota|ta.o.ta
tapotage|ta.pɔ.taʒ
tarama|ta.ma
tararage|ta.ʁaʒ
tardillonne|taʁ.jɔn
tarpéienne|taʁ.jɛn
tarsectomie|taʁs.tɔ.mi
tarsienne|taʁ.sjɛn
tartinade|taʁ.nad
tarzan|taʁ.d͡zɑ̃
tassili|ta.li
tautochrone|to.kʁɔn
tautomérie|to.ʁi
taxable|tak.sa.abl
taxodium|tak.djɔm
taylorienne|tɛ.lɔ.ʁjɛn
taël|ta.ɛl
taïchichuan|taj.ɑ̃
taïchi|taj.ki
taôiste|ta.nist
tchadanthrope|tʃa.tʁɔp
tcharchaf|tʃa.
tchatteuse|tʃa.tøz
tchernoziom|
tchitola|tʃi.la
tchérémisse|tʃe.mis
technicolor|tɛk.ni.kɔ.lɔʁ
technopathe|tɛk.no.pat
technétronique|tɛk.no.nik
tecker|tɛk.ke
tellière|te.ljɛʁ
tellureuse|tɛl.ʁøz
tembotrione|tɑ̃.ɔn
tenrecidé|tɑ̃.ʁɛk.de
tensionneur|tɑ̃.sjɔ̃.nœʁ
tenson|tɑ̃.sɔ̃
teocali|tɑ̃.li
teocalli|tɑ̃.li
teppanyaki|tɛp.ki
tergite|tɛʁ.ʒi.ʒit
terminographie|tɛʁ.mi.nɔ.ɡʁa.fi
terpine|tɛʁ.pin
terpinol|tɛʁ.nɔl
terpinéol|tɛʁ.ʃe.ɔl
terpénoïde|tɛʁ.id
terrafungine|tɛ.ʁa.ʒin
terramare|tɛ.mɑʁ
terraplane|tɛ.plan
tertiairisation|tɛʁ.li.za.sjɔ̃
tervueren|tɛʁ.ɑ̃
testable|tɛs.stabl
thanatopraxie|ta.na.pʁak.si
thari|ta.ʁi
thermistance|tɛʁ.mi.stɑ̃s
thermisteur|tɛʁ.mi.tœʁ
thermistor|tɛʁ.mi.tɔʁ
thermodurcissable|tɛʁ.mɔ.sabl
thermoplongeur|tɛʁ.mɔ.ʒœʁ
thesmothète|tɛʁ.mɔ.tɛt
thessalonicienne|ni.sjɛn
thiazine|tja.a.zin
thiocarbonate|kaʁ.bɔ.nat
thiocyanate|sja.nat
thioestérase|ɛs.te.ʁaz
thiosulfate|syl.fat
thiosulfurique|syl.fy.ʁik
thirame|tɛʁ.ʁam
thlaspi|tɛʁ.spi
thridace|tʁɔ̃.das
thriller|tʁɔ̃.je
thuyone|ty.jɔn
thyade|ti.jad
thylakoïde|ti.id
thylle|ti.fil
thyllose|ti.loz
thyratron|ti.tʁɔ̃
thyroglobuline|ti.ʁɔ.ɡlɔ.by.lin
thyrotrophine|ti.ʁɔ.fin
thyroxine|ti.ʁɔ.tɔk.sin
thyréotoxicose|ti.ʁeɔ.tɔk.si.ko.oz
thyréotoxique|ti.ʁeɔ.tɔk.sik
th|te.
théatralisme|te.a.lism
thébaine|te.ba.ɛn
théodosienne|te.ɔ.sjɛn
théorématique|te.ɔ.ma.tik
théralite|te.ʁa.lit
théridion|te.djɔ̃
thériodonte|te.dɔ̃t
théropode|te.pɔd
théropsidé|te.de
thésauriseuse|te.ʁi.zøz
tiercéiste|tjɛʁ.se.ist
tiers-mondisme|tjɛʁ.dism
tigette|tiʒ.ʒɛt
tiliacée|ti.se
tillandsie|ti.zi
tiraillante|ti.ɑ̃t
tistre|ti.mɛtʁ
toarcienne|tɔ.sjɛn
tokai|tɔ.
tokharienne|to.a.ʁjɛn
toluol|ly.
tolu|tɔ.ly
tomawak|tɔ.wak
tommy|tɔ.mi
tonification|tɔ.ni.za.sjɔ̃
tonofibrille|tɔ̃.n‿.fi.bʁil
toquade|tɔ.nad
toquet|tɔ.kɛ
torah|tɔʁ.ʁa
torball|tɔʁ.bol
torchette|tɔʁʃ.ʃɛt
toreutique|tɔʁ.tik
torsorielle|tɔʁ.ɛl
tortricidé|tɔʁ.de
touarègue|tu.lɛɡ
toulonnaise|tu.nɛz
toupilleuse|tu.pi.pi.jøz
touselle|tu.sɛl
toussoteuse|tu.tøz
touvaine|tu.vɛn
toxicodermie|tɔk.si.ko.tɛʁ.mi
toxinique|tɔk.sin.i.nik
toxémique|tɔk.si.mik
trachéole|tʁak.ɔl
tradescantia|tʁɛd.
traitance|tʁɛ.tɑ̃s
tramadol|tʁa.dɔl
tramping|tʁɑ̃p.piŋɡ
tramète|tʁam.ɡa.mɛt
transcriptase|tʁɑ̃s.kʁip.taz
transect|tʁɑ̃s.pɛ
transenne|tʁɑ̃s.sɛn
transférase|tʁɑ̃s.fe.ʁaz
transhumante|tʁɑ̃s.mɑ̃t
transilienne|tʁɑ̃s.bʁe.zi.ljɛn
transpadane|tʁɑ̃s.pa.dan
transvestisme|tʁɑ̃s.tism
trappeuse|tʁap.pøz
trappistine|tʁa.tin
travelling|tʁa.liŋ
tremblotte|tʁɑ̃.lɔt
trench-coat|tʁɑ̃t.fəl.kot
trench|tʁɑ̃t.tʃe
tresseuse|tʁɛs.søz
triallate|tʁial.lat
triamcinolone|tʁi.lɔn
triangulabilité|tʁi.jɑ̃.ɡy.bi.li.te
triangularisation|tʁi.jɑ̃.ɡy.li.za.sjɔ̃
tribart|tʁi.baʁ
triboulet|tʁi.lɛ
tributylphosphate|tʁi.by.fɔs.fat
trichomonase|tʁi.kɔ.naz
trichroïque|tʁi.kʁɔ.ik
trichroïsme|tʁi.ism
tricouni|tʁi.ni
trifouillage|tʁi.fu.jaʒ
trigonale|tʁi.ɡɔ.nal
trigonalisation|tʁi.ɡɔ.li.za.sjɔ̃
trimballement|tʁɛ̃.mɑ̃
trimurti|tʁi.ti
trinervée|tʁin.ve
trinitrobenzène|tʁi.ni.bɛ̃.zɛn
trinquart|tʁɛ̃.kaʁ
triomphaliste|tʁi.jo.list
triongulin|tʁi.jo.lɛ̃
trioxane|tʁi.jo.zan
tripang|tʁi.pɑ̃
triphasique|tʁi.fa.zik
triphénylméthane|tʁi.me.tan
tripodie|tʁi.di
trochet|tʁɔʃ.ʃɛ
trochin|tʁɔ.ʃɛ̃
trompable|tʁɔ̃.abl
tronculaire|tʁɔ̃.ky.lɛʁ
trophomicrobienne|tʁɔ.fɔ.mi.kʁɔ.bjɛn
trottinement|tʁɔ.ti.mɑ̃
truandaille|tʁy.dɑj
truble|tʁy.lybl
trudgeon|tʁy.ʒɔ̃
trullo|tʁy.lo
trypsine|tʁi.sin
trypsinogène|tʁi.ʒɛn
tryptamine|tʁip.a.min
tr|te.te
tréhalase|tʁe.laz
trélingage|tʁe.ɡaʒ
tréphone|tʁe.fɔn
tuberculide|tyb.lid
tuberculoïde|ty.id
tubicole|ty.kɔl
tubipore|ty.pɔʁ
tubuleuse|tybyl.løz
tubulée|tœb.by.le
tularémie|ty.mi
tumorothèque|ty.mɔ.tɛk
turbellarié|tyʁb.ʁje
turbiditique|tyʁ.bi.di.tik
turbith|tyʁ.
turbocompressée|tyʁ.bo.pʁɛ.se
turbomoteur|tyʁ.bo.tœʁ
turnep|tyʁ.
turonienne|tyʁ.njɛn
turquette|tyʁk.kɛt
turritelle|tyʁ.tɛl
tutsie|ty.zi
tuvaluane|man
tuyauteuse|tɥi.jo.tøz
twirling|liŋ
tyndallisation|li.za.sjɔ̃
typhacée|ti.fa.se
typhobacillose|ti.ba.si.loz
typification|ti.za.sjɔ̃
tyrosinase|ti.ʁɔ.naz
télencéphale|te.le.se.fal
télesthésie|te.le.zi
télolécithe|te.le.sit
téléosaure|te.le.sɔʁ
ténébrionidé|te.ne.bʁi.jɔ̃.ni.de
téphra|te.ʁa
térébinthacée|te.ʁe.se
téréphtalate|te.ʁe.fta.lat
téréphtalique|te.ʁe.fta.lik
tétanisme|te.ta.ni.nism
tétanotoxine|te.ta.tɔk.sin
tétonnière|te.tɔ̃.njɛʁ
tétrahydronaphtaline|te.tʁa.naf.ta.lin
tétrahydronaphtalène|te.tʁa.naf.ta.lɛn
tétrakihexaèdre|te.tʁa.eɡ.za.ɛdʁ
tétraméthylsilane|te.tʁa.si.lan
tétraphonie|te.tʁa.ni
tétrarchique|te.tʁa.ʃik
tétrasomie|te.tʁa.tɔ.mi
tûteler|le
tûter|te
ubique|y.bi.tik
ubiquisme|y.bi.kism
ulmacée|yl.tʁa.se
ultravirus|yl.tʁa.vi.ʁys
umbanda|œ̃bo.da
unanimitaire|y.na.ni.tɛʁ
uncinée|ɔ̃.ne
uniformitarisme|y.ni.fɔʁ.ta.ʁism
unisériée|y.ni.ʁje
universiade|y.ni.nad
univoquement|y.ni.vɔk.mɑ̃
unièmement|y.njɛm.mɑ̃
upwelling|liŋ
urobilinogène|y.ʁɔ.ʒɛn
uropygiale|y.ʁɔ.ʒjal
uropygienne|y.ʁɔ.ʒjɛn
urticante|yʁ.ɑ̃t
urticée|yʁ.se
urédospore|y.ʁe.spɔʁ
uréogenèse|y.ʁe.ʒə.nɛz
ustilaginale|ys.tɑ̃.nal
usuellement|y.zɥɛl.mɑ̃
usurairement|y.zyʁ.mɑ̃
uva-ursi|y.si
vacuomètre|va.mɛtʁ
vagolytique|va.ɡɔ.li.tik
valpolicella|val.sɛ.la
valvuloplastie|val.plas.ti
vancomycine|vɑ̃.mi.sin
varheure|vaʁ.œʁ
varicelliforme|va.ʁis.fɔʁm
variolite|va.ʁjɔ.lit
variolée|va.ʁjɔ.le
variqueuse|va.køz
variure|va.jyʁ
vasogénique|va.zo.ʒe.nik
vaudouisme|vo.du.dwism
veinette|vɛn.nɛt
velot|və.lu.lo
velouteuse|və.lu.tøz
velvote|və.vɔt
venante|və.ɑ̃t
ventileuse|vɑ̃.ti.løz
ventosité|vɑ̃.li.te
verbomanie|vɛʁ.bɔ.ma.ni
vergetière|vɛʁ.tjɛʁ
verrucosité|vɛ.ʁy.li.te
verticilliose|vɛʁ.ti.ljoz
vertébrothérapie|vɛʁ.te.te.ʁa.pi
vervelle|vɛʁv.ɛl
verviétoise|vɛʁ.twaz
vespertilion|vɛs.i.ljɔ̃
vespiste|vɛs.pist
vessigon|ve.ɡɔ̃
veuglaire|ɡlɛʁ
veveysanne|zan
victimologue|vik.ti.lɔɡ
vidienne|vi.djɛn
vidoir|vi.dwaʁ
vidrecome|vi.saʁ.kom
vidure|vi.dyʁ
vidéothécaire|vi.de.o.ɛʁ
vielliste|vjɛ.list
vignot|vi.no
vigousse|vi.ɡus
vilayet|vi.lɛ
vilipendage|vi.daʒ
vilipendeuse|vi.døz
villafranchien|vil.la.ʃjɛ̃
villagisation|vil.la.li.za.sjɔ̃
vinblastine|vɛ̃.tin
vinifère|vi.fɛʁ
vinylidénique|vi.ni.nik
viride|vi.ʁi.ʁid
virolier|vi.ʁɔ.lje
virtuosisme|viʁ.zism
viseuse|vi.søz
visonnière|vi.zɔ̃.njɛʁ
vitrectomie|vitʁ.tɔ.mi
vitroplant|vit.plɑ̃
vitropression|vit.sjɔ̃
vitruvienne|vi.ʁy.vjɛn
vivoir|vi.vwaʁ
vogelpik|vɔ.
voilement|vwal.mɑ̃
volailleuse|vɔ.laj.jøz
voluptuaire|vɔ.ɛʁ
vomito|vɔ.to
vomérienne|vɔ.ʁjɛn
vousseau|vu.so
vouvray|vu.vwa.
voïvodat|vɔj.mɔ.da
voïvode|vɔj.ɔd
vreneli|li
vrillante|vʁi.ɑ̃t
vrillement|vʁij.mɑ̃
vuvuzela|vyl.la
vénéfice|ve.ne.tʁis
vérifieuse|ve.ʁi.ma.fjøz
vérétille|ve.tij
vétérance|ve.te.ʁɑ̃s
wai|wa
wallingante|wɔːl.ɑ̃t
wargame|va.ɡam
watergang|wa.ɡaŋ
wateringue|wa.ʁɛ̃ɡ
webmestrie|wɛb.me.tʁi
welwitschia|kja
weyr|wɛb.fiʁ
wiccane|kan
wicca|ka
willémite|wi.mit
windsurf|sœʁf
wolophiser|wɔ.li.ze
wormien|mjɛ̃
wurtzite|vuʁ.tsit
www|
xanthate|ɡzɑ̃.fɔs.fat
xanthogénate|ɡzɑ̃.nat
xanthogénique|ɡzɑ̃.ʒe.nik
xanthélasma|ɡzɑ̃.plas.ma
xiloïdine|din
ximenia|ksi.nja
xingyiquan|
xinyiliuhequan|
xyloglucane|ɡzi.lɔ.ɡly.kan
xylopia|ksi.lɔ.
xénotime|ɡze.no.tim
xénotransplantation|za.sjɔ̃
xénélasie|ɡze.zi
yeomanry|jo.man.ʁi
yersinia|si.nja
yersiniose|oz
ylangs-ylangs|i.tɑ̃
yoyette|jɔ.jɔ.jɛt
yuppie|pi
zakât|za.mɑ̃
zazoue|za.tik
zeitnot|zɛt.no
zemstvo|vo
zidovudine|din
zoanthaire|zo.ɛʁ
zonoèdre|zo.ɛdʁ
zoopsie|zɔ.ɔ.zi
zwinglianisme|nism
zygopetalum|zi.lɔm
zygotique|zi.tik
zûner|ne
µR|
µas|ɑs
Ångström|ɑ̃ɡ
Églantine|tin
Élias|e.ɑs
Éliette|e.li.nɛt
Éline|e.tin
Élyott|e.
Épictète|e.pi.tɛt
Éram|e.
Ésaïe|e.
Étang-Salé|e.le
Étiennette|e.tjɛn.nɛt
Éveline|ev.lin
Ézéchias|ɑs
ásatrú|
ægosome|e.zom
æschnidé|ɛʃn.de
ébouriffage|e.bu.faʒ
éburonne|e.byʁ.ʁɔn
échafaudeuse|e.ʃa.fo.døz
écharneuse|e.nøz
échevèlement|e.mɑ̃
échinocactus|e.ki.nɔ.tys
éclairagisme|e.klɛ.ʒism
éclogite|e.ʒit
écorchage|e.kɔʁ.ʃaʒ
écrivaillée|e.kʁi.je
égalitairement|e.ɡa.li.tɛʁ.mɑ̃
égressive|e.ɡʁə.siv
élasticimétrie|e.las.me.tʁi
élatéridé|e.la.de
élicitine|e.li.tin
élicitrice|e.li.tʁis
élutriateur|e.ly.tœʁ
éminatie|e.mi.kʁa.si
énarquienne|e.kjɛn
énergéticienne|e.nɛʁ.ʒe.ti.sjɛn
énonçable|e.nɔ̃.abl
épaississeur|e.sœʁ
épeirogénique|e.ʒe.nik
éphéméroptère|e.fe.tɛʁ
épichlorhydrine|e.pi.dʁin
épidermomycose|e.pi.mi.kɔz
épidermophytie|e.pi.fi
épidémiologiquement|e.pi.de.mjɔ.lɔ.ʒik.mɑ̃
épipodite|e.pi.pɔ.dit
épirogénique|e.pi.ʒe.nik
épisclérite|e.pis.ʁit
épistasique|e.pis.zik
épithélioïde|e.pi.id
épongement|e.pɔ̃ʒ.mɑ̃
épousable|e.pu.sabl
époxydée|e.pɔk.si.de
équiprojectivité|e.ki.ti.vi.te
équisétale|e.ki.tal
équisétinée|e.ki.ne
équisétophyte|e.ki.fit
éraillement|e.ʁa.mɑ̃
érinye|e.
érotologique|e.ʁɔ.tɔ.lɔ.ʒik
érotologue|e.ʁɔ.tɔ.lɔɡ
érythroblastopénie|e.ʁi.pe.ni
érythrodermie|e.ʁi.tɛʁ.mi
étalonneuse|e.ta.lɔ.nøz
étampeuse|e.tɑ̃p.pøz
étanchéiste|e.tɑ̃.ʃe.ist
éthanoïque|e.ta.ik
éthoxyler|e.tɔ.le
éthyl|e.ti.be.ʁil
étymologue|e.ti.mɔ.lɔɡ
îlotière|i.lo.tjɛʁ
œnotechnie|e.nɔ.ni
œnotechnique|e.nɔ.tɛk.nik
œsophagomalacie|e.zɔ.fa.la.si
œsophagoplastie|e.zɔ.fa.plas.ti
œstradiène|ɛs.djɛn
œstrogénothérapie|œs.te.ʁa.pi
